void_id,ra_deg,dec_deg,z,r_eff_mpc,source_catalog,vizier_catalog
21215,155.067,54.273,0.656,55.923,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
881,117.451,34.652,0.648,62.119,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
20222,213.085,62.581,0.461,51.93,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
899,123.446,39.072,0.574,59.246,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19635,162.166,26.751,0.67,33.293,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4738,216.995,0.186,0.645,65.242,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9956,246.08,22.071,0.49,22.317,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18662,240.112,42.18,0.505,73.631,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
141,125.875,51.482,0.497,61.465,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18756,250.239,47.198,0.622,77.773,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
7200,118.085,32.017,0.658,57.753,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21349,153.861,50.583,0.51,60.419,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
9094,188.246,43.77,0.566,54.846,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
22148,199.378,44.418,0.643,94.659,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4680,230.79,1.045,0.658,39.641,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
3442,193.617,39.62,0.507,66.153,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11658,241.691,5.032,0.48,22.1,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
18175,204.721,23.855,0.582,65.62,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21959,225.251,51.287,0.475,55.644,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21565,186.051,60.474,0.511,54.885,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11396,197.761,5.66,0.61,47.469,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21119,190.904,62.443,0.657,58.569,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16630,138.344,48.675,0.574,54.522,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
11786,191.598,4.738,0.568,78.156,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4678,226.974,0.355,0.605,67.616,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
21463,200.545,49.878,0.499,54.507,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
17833,203.226,26.146,0.522,48.77,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
15445,193.085,14.756,0.518,63.52,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
16196,138.686,11.982,0.653,73.84,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4270,243.816,19.008,0.459,60.072,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
3441,193.925,39.112,0.568,35.724,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
19601,199.232,30.437,0.461,37.315,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
13703,227.372,37.616,0.573,52.96,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
4262,231.521,26.472,0.515,62.968,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2634,165.797,-0.817,0.454,30.679,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
1236,186.739,-0.544,0.649,56.95,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
12591,243.297,26.857,0.561,57.503,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
2536,152.573,-0.563,0.54,40.844,BOSS_DR12_Mao2017_ZOBOV,J/ApJ/835/161
