RA,DEC,REDSHIFT,survey,RA_BIN,DEC_BIN,LOCAL_DENSITY
81.3968552215467,0.743802074760592,0.2549418,SDSS,81,0,20
81.3874994862533,0.824102798766963,0.2552992,SDSS,81,0,20
81.3480752979614,0.748923967419461,0.2546388,SDSS,81,0,20
81.343216391401,0.730840741506411,0.2543027,SDSS,81,0,20
81.4176827452595,0.819474792497435,0.1535052,SDSS,81,0,20
81.2999525089675,0.732651434774658,0.2379307,SDSS,81,0,20
80.9842185675133,0.759456984891919,0.1317314,SDSS,80,0,15
81.0171605516399,0.73051070557937,0.08550129,SDSS,81,0,20
80.6121152837623,0.643241136215495,0.3659964,SDSS,80,0,15
80.4629126550401,0.737156063992719,0.2720776,SDSS,80,0,15
80.4841977272473,0.663620425365603,0.2420604,SDSS,80,0,15
80.4357200159108,0.832379271919742,0.06487791,SDSS,80,0,15
80.4248920587711,0.767694769845392,0.1389496,SDSS,80,0,15
80.4177497959825,0.691171444329627,0.1820579,SDSS,80,0,15
80.4706747482816,0.83090097716022,0.140993,SDSS,80,0,15
80.4362181679801,0.663453615566306,0.1808923,SDSS,80,0,15
80.3697894924952,0.683242197265598,0.5191099,SDSS,80,0,15
80.318193384744,0.706240935442639,0.1839998,SDSS,80,0,15
80.3626921814238,0.822749640374856,0.08794557,SDSS,80,0,15
80.3162288689701,0.823378551228203,0.08767803,SDSS,80,0,15
80.2038552354776,0.787040041723403,0.08010395,SDSS,80,0,15
80.1720194423649,0.846667976206608,0.2199219,SDSS,80,0,15
90.7713852459095,0.253930559415309,0.4275764,SDSS,90,0,2
90.7298706537529,0.227717046271379,0.5880927,SDSS,90,0,2
89.7403387324833,0.292406867630796,0.552613,SDSS,89,0,2
88.00698138908,0.346208929844544,0.7928632,SDSS,88,0,1
87.6249653983992,0.272072900708688,0.1500245,SDSS,87,0,12
87.3332323544524,0.220422040785695,0.2588234,SDSS,87,0,12
87.2763674221158,0.252318675564364,0.2174197,SDSS,87,0,12
87.3959488393357,0.285613545290974,0.1193381,SDSS,87,0,12
87.2908148140057,0.285557332194098,0.7364672,SDSS,87,0,12
87.1449569462733,0.264512437284232,0.7064357,SDSS,87,0,12
87.0235817832184,0.348781855562876,0.7065571,SDSS,87,0,12
86.9978080886199,0.357703015266769,0.7411852,SDSS,86,0,9
86.1064329100908,0.310022576610627,0.3454711,SDSS,86,0,9
86.1662613990878,0.404535196092754,0.1206641,SDSS,86,0,9
85.9961163909275,0.243688043592525,0.1210648,SDSS,85,0,11
85.7797349698074,0.309462203837918,0.1147904,SDSS,85,0,11
85.7384094505398,0.283343074389934,0.1498839,SDSS,85,0,11
85.6152709372312,0.361782495022219,0.1484322,SDSS,85,0,11
85.7175745318452,0.312184719988049,0.1218914,SDSS,85,0,11
85.636965279422,0.407375724134304,0.1248497,SDSS,85,0,11
